,region,room_availability_bs,price,rating,transaction_count,tipe_kos,room_area,is_discount,region_group,Parkir_Motor,Lemari_Baju,WiFi,Bantal,Dapur,AC,K_Mandi_Dalam,Shower,Kloset_Duduk,Meja,Jendela,R_Jemur,TV,Kulkas,Penjaga_Kos,Kursi,R_Tamu,Parkir_Mobil,Parkir_Sepeda,Cermin,Ventilasi,CCTV,Parkir_Motor_&_Sepeda,Guling,Ember_mandi,K_Mandi_Luar,Jemuran,Dispenser,Wastafel,Air_panas,R_Makan,R_Cuci,R_Santai,Kloset_Jongkok,Termasuk_listrik
0,Bogor,0.0,950000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
1,Depok,0.0,1100000,0.0,0.0,Kos Putra,12.0,0,Depok,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
2,Tangerang Selatan,1.0,1100000,0.0,0.0,Kos Putra,9.0,0,Tangerang,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1
3,Bogor,2.0,700000,0.0,0.0,Kos Campur,12.0,0,Bogor,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1
4,Tangerang Selatan,2.0,1500000,0.0,0.0,Kos Putra,6.0,0,Tangerang,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
5,Tangerang Selatan,2.0,2200000,0.0,0.0,Kos Putra,9.0,0,Tangerang,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
6,Depok,0.0,1350000,0.0,0.0,Kos Putri,16.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
7,Jakarta Barat,1.0,3100000,0.0,0.0,Kos Campur,12.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1
8,Jakarta Utara,0.0,700000,0.0,0.0,Kos Putra,9.0,0,Jakarta,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
9,Jakarta Selatan,0.0,3500000,4.0,22.0,Kos Campur,15.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
10,Jakarta Selatan,0.0,3800000,0.0,13.0,Kos Campur,16.0,1,Jakarta,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
11,Jakarta Selatan,0.0,4000000,3.6,12.0,Kos Campur,27.599999999999998,1,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1
12,Tangerang Selatan,2.0,750000,0.0,1.0,Kos Putra,9.0,0,Tangerang,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
13,Depok,1.0,1400000,0.0,0.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1
14,Jakarta Utara,0.0,3500000,0.0,0.0,Kos Campur,20.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1
15,Jakarta Utara,0.0,2200000,5.0,2.0,Kos Campur,12.0,0,Jakarta,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
16,Tangerang Selatan,1.0,850000,0.0,0.0,Kos Putra,10.0,0,Tangerang,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
17,Depok,0.0,1600000,0.0,0.0,Kos Putri,16.0,0,Depok,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
18,Depok,0.0,700000,0.0,0.0,Kos Campur,12.0,0,Depok,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1
19,Jakarta Utara,3.0,800000,0.0,0.0,Kos Campur,6.0,0,Jakarta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,Bogor,1.0,700000,0.0,1.0,Kos Putra,12.0,0,Bogor,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
21,Jakarta Barat,2.0,2180000,4.6,81.0,Kos Campur,8.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1
22,Jakarta Barat,1.0,880000,0.0,0.0,Kos Putri,12.0,0,Jakarta,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
23,Depok,3.0,800000,3.8,0.0,Kos Putri,9.0,1,Depok,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1
24,Depok,0.0,650000,0.0,9.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
25,Depok,0.0,650000,0.0,9.0,Kos Putri,12.0,0,Depok,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
26,Tangerang,2.0,1300000,0.0,0.0,Kos Putri,12.0,0,Tangerang,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
27,Tangerang Selatan,1.0,1100000,0.0,3.0,Kos Campur,12.0,0,Tangerang,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
28,Bekasi,1.0,1400000,0.0,0.0,Kos Putra,9.0,0,Bekasi,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
29,Bogor,1.0,1300000,0.0,0.0,Kos Campur,16.0,0,Bogor,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1
30,Bogor,1.0,1500000,0.0,0.0,Kos Campur,30.0,0,Bogor,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1
31,Tangerang Selatan,2.0,1800000,5.0,5.0,Kos Putri,14.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1
32,Jakarta Utara,1.0,1600000,0.0,4.0,Kos Putri,12.0,0,Jakarta,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33,Depok,0.0,1250000,0.0,0.0,Kos Putri,12.0,0,Depok,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
34,Tangerang Selatan,2.0,1300000,0.0,4.0,Kos Putri,12.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
35,Tangerang Selatan,0.0,950000,0.0,0.0,Kos Putri,6.760000000000001,0,Tangerang,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
36,Jakarta Utara,2.0,1450000,0.0,0.0,Kos Campur,12.0,1,Jakarta,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
37,Tangerang,2.0,1300000,0.0,0.0,Kos Putri,16.0,0,Tangerang,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1
38,Bogor,2.0,2500000,0.0,0.0,Kos Putri,18.0,0,Bogor,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
39,Bogor,2.0,1200000,0.0,0.0,Kos Campur,9.0,0,Bogor,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1
40,Tangerang,0.0,1500000,5.0,5.0,Kos Campur,9.0,0,Tangerang,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1
41,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
42,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
43,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
44,Jakarta Timur,2.0,1400000,0.0,1.0,Kos Putri,12.0,0,Jakarta,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
45,Tangerang,3.0,750000,0.0,2.0,Kos Campur,9.0,0,Tangerang,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Bekasi,3.0,1495000,0.0,5.0,Kos Campur,9.0,0,Bekasi,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
47,Jakarta Timur,0.0,1850000,0.0,0.0,Kos Putri,12.0,1,Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1
